"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 04:00","2023","09","02","04:00","18.5","","5.0","","41","","0.0","","31","","14","","","","88.55","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 05:00","2023","09","02","05:00","18.2","","4.9","","42","","0.0","","31","","16","","","","88.57","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 06:00","2023","09","02","06:00","17.7","","5.1","","43","","0.0","","32","","14","","","","88.60","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 07:00","2023","09","02","07:00","19.4","","5.2","","39","","0.0","","30","","15","","","","88.63","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 08:00","2023","09","02","08:00","21.2","","6.2","","38","","0.0","","32","","8","","","","88.68","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 09:00","2023","09","02","09:00","21.9","","6.5","","37","","0.0","","10","","7","","","","88.72","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 10:00","2023","09","02","10:00","23.1","","7.4","","37","","0.0","","14","","9","","","","88.72","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 11:00","2023","09","02","11:00","24.0","","6.2","","32","","0.0","","15","","7","","","","88.71","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 12:00","2023","09","02","12:00","25.3","","6.3","","30","","0.0","","15","","8","","","","88.69","","25","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 13:00","2023","09","02","13:00","26.2","","6.6","","29","","0.0","","14","","10","","","","88.64","","26","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 14:00","2023","09","02","14:00","27.3","","6.1","","26","","0.0","","18","","11","","","","88.58","","27","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 15:00","2023","09","02","15:00","27.5","","6.3","","26","","0.0","","17","","10","","","","88.55","","27","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 16:00","2023","09","02","16:00","27.0","","6.4","","27","","0.0","","16","","12","","","","88.51","","27","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 17:00","2023","09","02","17:00","26.3","","7.6","","31","","0.0","","16","","11","","","","88.48","","27","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 18:00","2023","09","02","18:00","25.0","","7.0","","32","","0.0","","18","","10","","","","88.49","","25","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 19:00","2023","09","02","19:00","23.0","","8.7","","40","","0.0","","27","","6","","","","88.51","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 20:00","2023","09","02","20:00","23.3","","7.2","","36","","0.0","","15","","6","","","","88.57","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 21:00","2023","09","02","21:00","20.8","","6.6","","40","","0.0","","19","","5","","","","88.59","","","","","","NA"
